,REGION,CROP,TOTAL RAINFALL(MM),AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
604,7,7,902,8808.0,0.91,8015.28
605,7,7,902,7200.0,1.04,7488.0
606,7,7,902,10152.0,1.01,10253.52
607,7,7,902,3927.0,1.23,4830.21
608,7,6,902,6174.0,1.8,11113.2
609,7,6,902,2070.0,1.2,2484.0
610,7,6,902,4421.0,1.01,4465.21
611,7,6,902,11020.0,1.15,12673.0
612,7,6,902,8235.0,0.82,6752.7
613,7,6,902,9456.0,0.68,6430.08
614,7,6,902,2672.0,0.98,2618.56
615,7,6,902,2859.0,0.74,2115.66
616,6,9,1171,7083.0,0.63,4462.29
617,6,9,1171,6025.0,0.57,3434.25
618,6,9,1171,7264.0,1.58,11477.12
619,6,9,1171,12413.0,0.6,7447.8
620,6,9,1171,4538.0,1.49,6761.62
621,6,9,1171,4699.0,0.87,4088.13
622,6,9,1171,11453.0,1.1,12598.3
623,6,9,1171,10106.0,0.9,9095.4
624,6,8,1171,4579.0,1.2,5494.8
625,6,8,1171,3310.0,1.02,3376.2
626,6,8,1171,5156.0,1.5,7734.0
627,6,8,1171,52221.0,0.9,46998.9
628,6,8,1171,902.0,1.43,1289.86
629,6,8,1171,7100.0,1.05,7455.0
630,6,8,1171,11826.0,1.1,13008.6
631,6,8,1171,15159.0,1.1,16674.9
632,6,7,1171,17311.0,1.05,18176.55
633,6,7,1171,11792.0,1.0,11792.0
634,6,7,1171,13693.0,1.55,21224.15
635,6,7,1171,13403.0,1.3,17423.9
636,6,7,1171,10488.0,1.4,14683.2
637,6,7,1171,6314.0,1.67,10544.38
638,6,7,1171,21252.0,1.4,29752.8
639,6,7,1171,28743.0,1.6,45988.8
640,6,6,1171,4153.0,0.8,3322.4
641,6,6,1171,4262.0,0.9,3835.8
642,6,6,1171,2864.0,1.18,3379.52
643,6,6,1171,2966.0,0.9,2669.4
644,6,6,1171,6340.0,1.14,7227.6
645,6,6,1171,7090.0,1.1,7799.0
646,6,6,1171,12712.0,1.26,16017.12
647,6,6,1171,20898.0,1.24,25913.52
648,3,0,1385,1100.0,1.15,1270.0
649,3,0,1385,1450.0,1.19,1725.5
650,3,0,1385,2040.0,1.32,2692.8
651,3,0,1385,2210.0,1.2,2652.0
652,3,0,1385,1560.0,1.38,2152.8
653,3,0,1385,930.0,1.3,1209.0
654,3,0,1385,5870.0,1.39,8159.3
655,3,0,1385,5530.0,1.4,7742.0
656,3,0,1385,9200.0,1.5,13800.0
657,3,0,1385,5330.0,1.42,7568.6
658,3,0,1385,7190.0,1.49,10713.1
659,3,0,1385,5670.0,1.53,8675.1
660,3,0,1385,7060.0,1.51,10660.6
661,3,3,1385,110.0,1.18,130.0
662,3,3,1385,100.0,1.19,119.0
663,3,3,1385,100.0,1.2,120.0
664,3,3,1385,1410.0,1.18,1663.8
665,3,3,1385,600.0,1.38,828.0
666,3,3,1385,970.0,1.2,1164.0
667,3,3,1385,1180.0,1.21,1427.8
668,3,3,1385,1340.0,1.33,1782.2
669,3,3,1385,1730.0,1.42,2456.6
670,3,3,1385,1510.0,1.16,1751.6
671,3,3,1385,2460.0,1.35,3321.0
672,3,3,1385,1860.0,1.25,2325.0
673,3,3,1385,1910.0,1.58,3017.8
674,3,1,1385,2430.0,7.8,18960.0
675,3,1,1385,4070.0,9.3,37850.0
676,3,1,1385,5640.0,10.7,60350.0
677,3,1,1385,4100.0,7.8,31990.12
678,3,1,1385,6060.0,9.3,56360.0
679,3,1,1385,4850.0,9.7,47050.0
680,3,1,1385,5410.0,7.8,42211.36
681,3,1,1385,3630.0,9.1,33040.0
682,3,1,1385,11040.0,7.8,86139.26
683,3,1,1385,7460.0,9.3,69380.0
684,3,1,1385,10010.0,10.5,105110.0
685,3,1,1385,3350.0,7.8,26138.27
686,3,1,1385,5030.0,10.8,54330.0
687,3,2,1385,30.0,3.67,110.0
688,3,2,1385,30.0,3.33,100.0
689,3,2,1385,200.0,3.67,733.33
690,3,2,1385,190.0,4.79,910.0
691,3,2,1385,30.0,3.33,100.0
692,3,2,1385,20.0,3.0,60.0
693,3,2,1385,520.0,7.37,3830.0
694,3,2,1385,580.0,6.45,3740.0
695,3,2,1385,1080.0,6.8,7340.0
696,3,2,1385,2550.0,7.3,18610.0
697,3,2,1385,3090.0,8.68,26820.0
698,3,2,1385,1760.0,3.67,6453.33
699,3,2,1385,1920.0,10.18,19540.0
700,5,0,1195,9760.0,2.4,23420.0
701,5,0,1195,6410.0,2.8,17950.0
702,5,0,1195,4000.0,2.4,9598.36
703,5,0,1195,9650.0,1.41,13610.0
704,5,0,1195,3980.0,1.84,7310.0
705,5,0,1195,4890.0,2.0,9760.0
706,5,0,1195,13300.0,2.4,31914.55
707,5,0,1195,12970.0,1.5,19450.0
708,5,0,1195,6370.0,2.4,15285.39
709,5,0,1195,20860.0,1.75,36500.0
710,5,0,1195,7930.0,2.48,19670.0
711,5,0,1195,8120.0,1.24,10070.0
712,5,0,1195,6300.0,2.65,16700.0
713,5,3,1195,740.0,1.2,890.0
714,5,3,1195,570.0,1.19,680.0
715,5,3,1195,590.0,1.2,710.0
716,5,3,1195,2040.0,1.2,2440.0
717,5,3,1195,130.0,1.38,180.0
718,5,3,1195,40.0,1.25,50.0
719,5,3,1195,50.0,2.8,140.0
720,5,1,1195,11000.0,20.54,225950.0
721,5,1,1195,9910.0,32.0,317140.0
722,5,1,1195,4140.0,12.69,52550.0
723,5,1,1195,10440.0,13.06,136370.0
724,5,1,1195,5060.0,9.07,45900.0
725,5,1,1195,4610.0,13.35,61550.0
726,5,1,1195,11220.0,9.44,105940.0
727,5,1,1195,15230.0,13.8,210170.0
728,5,1,1195,7290.0,19.32,140850.0
729,5,1,1195,31710.0,13.13,416200.0
730,5,1,1195,3900.0,14.77,57610.0
731,5,1,1195,7560.0,16.47,124520.0
732,5,1,1195,6610.0,21.44,141750.0
733,5,2,1195,440.0,5.8,2550.0
734,5,2,1195,380.0,4.5,1710.0
735,5,2,1195,80.0,5.38,430.0
736,5,2,1195,200.0,5.5,1100.0
737,5,2,1195,110.0,5.27,580.0
738,5,2,1195,880.0,4.39,3860.0
739,5,2,1195,240.0,5.54,1330.0
740,5,2,1195,20.0,5.8,115.91
741,5,2,1195,620.0,9.06,5620.0
742,2,0,1211,15000.0,2.0,30000.0
743,2,0,1211,11000.0,2.0,22000.0
744,2,0,1211,8500.0,1.9,16150.0
745,2,0,1211,7000.0,1.6,11200.0
746,2,0,1211,9500.0,2.0,19000.0
747,2,0,1211,4000.0,2.0,8000.0
748,2,0,1211,10500.0,2.0,21000.0
749,2,0,1211,4500.0,1.8,8100.0
750,2,0,1211,5500.0,1.7,9350.0
751,2,0,1211,7500.0,2.0,15000.0
752,2,0,1211,10000.0,2.0,20000.0
753,2,0,1211,3500.0,2.0,7000.0
754,2,0,1211,5500.0,1.6,8800.0
755,2,0,1211,14500.0,1.8,26100.0
756,2,0,1211,29500.0,1.6,47200.0
757,2,0,1211,9000.0,1.5,13500.0
758,2,0,1211,14000.0,1.5,21000.0
759,2,3,1211,4040.0,2.6,10504.0
760,2,3,1211,20.0,2.5,50.0
761,2,3,1211,200.0,2.5,500.0
762,2,3,1211,1250.0,3.3,4125.0
763,2,3,1211,750.0,3.0,2250.0
764,2,3,1211,1050.0,2.2,2310.0
765,2,1,1211,15100.0,15.0,226500.0
766,2,1,1211,12750.0,17.0,216750.0
767,2,1,1211,12800.0,15.0,192000.0
768,2,1,1211,9200.0,26.0,239200.0
769,2,1,1211,11900.0,22.0,261800.0
770,2,1,1211,6600.0,15.0,99000.0
771,2,1,1211,8500.0,15.0,127500.0
772,2,1,1211,9400.0,19.0,178600.0
773,2,1,1211,6600.0,18.0,118800.0
774,2,1,1211,8500.0,22.0,187000.0
775,2,1,1211,11000.0,16.0,176000.0
776,2,1,1211,8200.0,16.0,131200.0
